er,er
eins,eins,    ,    
hægt,hægt,    ,    
að,að,  ,  
hugsa,hugsa,     ,     
sér,sér,   ,   
",",",", , 
að,að,  ,  
næsta,næsta,     ,     
skrefið,skrefið,       ,       
yrði,yrði,    ,    
það,það,   ,   
eftir,eftir,     ,     
túlkun,túlkun,      ,      
hv.,hv.,   ,   
þm.,þm.,   ,   
,,,
Ég,Ég,  ,  
er,er,  ,  
viss,viss,    ,    
um,um,  ,  
það,það,   ,   
skv.,skv.,    ,    
framansögðu,framansögðu,           ,           
",",",", , 
að,að,  ,  
till.,till.,     ,     
okkar,okkar,     ,     
er,er,  ,  
miklu,miklu,     ,     
lýðræðislegri,lýðræðislegri,             ,             
og,og,  ,  
beinir,beinir,      ,      
þessu,þessu,     ,     
máli,máli,    ,    
inn,inn,   ,   
á,á, , 
lýðræðislegri,lýðræðislegri,             ,             
brautir,brautir,       ,       
en,en,  ,  
frv.,frv.,    ,    
gerir,gerir,     ,     
",",",", , 
einmitt,einmitt,       ,       
inn,inn,   ,   
á,á, , 
þau,þau,   ,   
svið,svið,    ,    
",",",", , 
sem,sem,   ,   
hefðin,hefðin,      ,      
ætlast,ætlast,      ,      
til,til,   ,   
að,að,  ,  
valdið,valdið,      ,      
i,í,i,í
þessum,þessum,      ,      
efnum,efnum,     ,     
sé,sé,  ,  
.,., , 
,,,
En,En,  ,  
sé,sé,  ,  
það,það,   ,   
nú,nú,  ,  
hugmyndin,hugmyndin,         ,         
að,að,  ,  
taka,taka,    ,    
valdið,valdið,      ,      
af,af,  ,  
almenningi,almenningi,          ,          
og,og,  ,  
flytja,flytja,      ,      
til,til,   ,   
Alþingis,Alþingis,        ,        
",",",", , 
þá,þá,  ,  
er,er,  ,  
það,það,   ,   
satt,satt,    ,    
að,að,  ,  
segja,segja,     ,     
f,í,f,í
nokkru,nokkru,      ,      
samræmi,samræmi,       ,       
við,við,   ,   
stjórnarskrárbreytinguna,stjórnarskrárbreytinguna,                        ,                        
",",",", , 
en,en,  ,  
alveg,alveg,     ,     
ónauðsynlegt,ónauðsynlegt,            ,            
skv.,skv.,    ,    
henni,henni,     ,     
að,að,  ,  
beita,beita,     ,     
því,því,   ,   
bragði,bragði,      ,      
.,., , 
,,,
Bernharð,Bernharð,        ,        
Stefánsaon,Stefánsson,       s  ,       a  
:,:, , 
Herra,Herra,     ,     
forseti,forseti,       ,       
.,., , 
,,,
Þegar,Þegar,     ,     
hér,hér,   ,   
var,var,   ,   
til,til,   ,   
meðferðar,meðferðar,         ,         
i,í,i,í
hv.,hv.,   ,   
d.,d.,  ,  
þáltill,þáltill,       ,       
",",",", , 
um,um,  ,  
að,að,  ,  
kjósa,kjósa,     ,     
sérstaka,sérstaka,        ,        
stjórnarskrárnefnd,stjórnarskrárnefnd,                  ,                  
",",",", , 
áður,áður,    ,    
en,en,  ,  
því,því,   ,   
máli,máli,    ,    
var,var,   ,   
vísað,vísað,     ,     
til,til,   ,   
d.,d.,  ,  
",",",", , 
þá,þá,  ,  
var,var,   ,   
ástæðan,ástæðan,       ,       
sú,sú,  ,  
",",",", , 
sem,sem,   ,   
færð,færð,    ,    
var,var,   ,   
fyrir,fyrir,     ,     
þessari,þessari,       ,       
till.,till.,     ,     
",",",", , 
að,að,  ,  
n.,n.,  ,  
ætti,ætti,    ,    
þegar,þegar,     ,     
að,að,  ,  
vinna,vinna,     ,     
með,með,   ,   
stjskrn.,stjskrn.,        ,        
,,,
Nd.,Nd.,   ,   
og,og,  ,  
þá,þá,  ,  
alveg,alveg,     ,     
sérstaklega,sérstaklega,           ,           
að,að,  ,  
athugun,athugun,       ,       
kosningalaganna,kosningalaganna,               ,               
",",",", , 
því,því,   ,   
að,að,  ,  
stjórnarskrárfrv.,stjórnarskrárfrv.,                 ,                 
sjálft,sjálft,      ,      
virtist,virtist,       ,       
ekki,ekki,    ,    
að,að,  ,  
því,því,   ,   
leyti,leyti,     ,     
þurfa,þurfa,     ,     
athugunar,athugunar,         ,         
við,við,   ,   
",",",", , 
að,að,  ,  
meirí,meiri,    í,    i
hluti,hluti,     ,     
þings,þings,     ,     
hafði,hafði,     ,     
samið,samið,     ,     
um,um,  ,  
það,það,   ,   
og,og,  ,  
það,það,   ,   
á,á, , 
síðasta,síðasta,       ,       
þingi,þingi,     ,     
",",",", , 
að,að,  ,  
það,það,   ,   
skyldi,skyldi,      ,      
",",",", , 
eins,eins,    ,    
og,og,  ,  
það,það,   ,   
lá,lá,  ,  
fyrir,fyrir,     ,     
",",",", , 
ganga,ganga,     ,     
fram,fram,    ,    
óbreytt,óbreytt,       ,       
",",",", , 
og,og,  ,  
þýddi,þýddi,     ,     
þar,þar,   ,   
í,í, , 
raun,raun,    ,    
og,og,  ,  
veru,veru,    ,    
ekki,ekki,    ,    
athugun,athugun,       ,       
.,., , 
,,,
Ég,Ég,  ,  
hreyfði,hreyfði,       ,       
því,því,   ,   
þá,þá,  ,  
þegar,þegar,     ,     
undir,undir,     ,     
meðferð,meðferð,       ,       
þessarar,þessarar,        ,        
þáltill.,þáltill.,        ,        
hér,hér,   ,   
i,í,i,í
hv.,hv.,   ,   
d.,d.,  ,  
",",",", , 
að,að,  ,  
jafnvel,jafnvel,       ,       
þó,þó,  ,  
að,að,  ,  
ég,ég,  ,  
hefði,hefði,     ,     
ekkert,ekkert,      ,      
á,á, , 
móti,móti,    ,    
þvi,því,  i,  í
",",",", , 
að,að,  ,  
sú,sú,  ,  
nefnd,nefnd,     ,     
yrði,yrði,    ,    
kosin,kosin,     ,     
þá,þá,  ,  
þegar,þegar,     ,     
hér,hér,   ,   
i,í,i,í
d.,d.,  ,  
",",",", , 
og,og,  ,  
ég,ég,  ,  
hefði,hefði,     ,     
ekki,ekki,    ,    
heldur,heldur,      ,      
á,á, , 
móti,móti,    ,    
því,því,   ,   
",",",", , 
að,að,  ,  
hún,hún,   ,   
ynni,ynni,    ,    
með,með,   ,   
hv.,hv.,   ,   
stjskrn.,stjskrn.,        ,        
,,,
Hv.,Hv.,   ,   
frsm.,frsm.,     ,     
stjskrn.,stjskrn.,        ,        
upplýsti,upplýsti,        ,        
það,það,   ,   
að,að,  ,  
visu,vísu, i  , í  
",",",", , 
að,að,  ,  
n.,n.,  ,  
hefði,hefði,     ,     
haldið,haldið,      ,      
um,um,  ,  
þetta,þetta,     ,     
tvo,tvo,   ,   
fundi,fundi,     ,     
",",",", , 
eftir,eftir,     ,     
að,að,  ,  
frv.,frv.,    ,    
var,var,   ,   
til,til,   ,   
hennar,hennar,      ,      
vísað,vísað,     ,     
",",",", , 
auk,auk,   ,   
þess,þess,    ,    
sem,sem,   ,   
hún,hún,   ,   
vann,vann,    ,    
með,með,   ,   
stjskrn.,stjskrn.,        ,        
,,,
Nd.,Nd.,   ,   
",",",", , 
en,en,  ,  
mér,mér,   ,   
þykja,þykja,     ,     
tveir,tveir,     ,     
stuttir,stuttir,       ,       
fundir,fundir,      ,      
satt,satt,    ,    
að,að,  ,  
segja,segja,     ,     
ekki,ekki,    ,    
bera,bera,    ,    
vott,vott,    ,    
um,um,  ,  
mjög,mjög,    ,    
míkla,mikla, í   , i   
sérstaka,sérstaka,        ,        
athugun,athugun,       ,       
á,á, , 
málinu,málinu,      ,      
